month,product_group_id,product_group_name,market_revenue,revenue_amazon
2025-01-01,1,Portable Computers,14161252352.0,3211730944.0
2025-02-01,1,Portable Computers,11070920704.0,3003572736.0
2025-03-01,1,Portable Computers,14271455232.0,3270846720.0
2025-04-01,1,Portable Computers,10422604800.0,2930077440.0
2025-05-01,1,Portable Computers,13219937280.0,3300519168.0
2025-06-01,1,Portable Computers,13052795904.0,2951784192.0
2025-07-01,1,Portable Computers,13762042880.0,3097323264.0
2025-08-01,1,Portable Computers,12617506816.0,2947571712.0
2025-09-01,1,Portable Computers,11850190848.0,2845823744.0
2025-10-01,1,Portable Computers,12123584512.0,2905736448.0
2025-11-01,1,Portable Computers,13261933568.0,2989420544.0
2025-12-01,1,Portable Computers,10944638976.0,2897942784.0
2025-01-01,2,Cooling Systems,5451588096.0,448257952.0
2025-02-01,2,Cooling Systems,5679582720.0,554536832.0
2025-03-01,2,Cooling Systems,5240854528.0,610986112.0
2025-04-01,2,Cooling Systems,6043728384.0,649045184.0
2025-05-01,2,Cooling Systems,6456436736.0,659691520.0
2025-06-01,2,Cooling Systems,6982283776.0,592836416.0
2025-07-01,2,Cooling Systems,5479073280.0,583846400.0
2025-08-01,2,Cooling Systems,6201511424.0,592022592.0
2025-09-01,2,Cooling Systems,6337969664.0,570506496.0
2025-10-01,2,Cooling Systems,6015528448.0,622188288.0
2025-11-01,2,Cooling Systems,6301505536.0,627017792.0
2025-12-01,2,Cooling Systems,6540335104.0,569333184.0
2025-01-01,3,Frozen Storage Units,1466524160.0,149681200.0
2025-02-01,3,Frozen Storage Units,1536975488.0,143028656.0
2025-03-01,3,Frozen Storage Units,1689110528.0,148382880.0
2025-04-01,3,Frozen Storage Units,1517923840.0,143122704.0
2025-05-01,3,Frozen Storage Units,1662453504.0,156148480.0
2025-06-01,3,Frozen Storage Units,1810304384.0,152852672.0
2025-07-01,3,Frozen Storage Units,1729596160.0,168737984.0
2025-08-01,3,Frozen Storage Units,1629169920.0,154198752.0
2025-09-01,3,Frozen Storage Units,1612152064.0,150828480.0
2025-10-01,3,Frozen Storage Units,1261373696.0,134752112.0
2025-11-01,3,Frozen Storage Units,1424000000.0,103868640.0
2025-12-01,3,Frozen Storage Units,1280547840.0,126826992.0
2025-01-01,4,Laundry Machines,5716219904.0,497710592.0
2025-02-01,4,Laundry Machines,6521814016.0,494379520.0
2025-03-01,4,Laundry Machines,7443755008.0,639101824.0
2025-04-01,4,Laundry Machines,6986406400.0,487701536.0
2025-05-01,4,Laundry Machines,7421436416.0,637780096.0
2025-06-01,4,Laundry Machines,6256121344.0,602022592.0
2025-07-01,4,Laundry Machines,6365971456.0,462994816.0
2025-08-01,4,Laundry Machines,6177593856.0,521421440.0
2025-09-01,4,Laundry Machines,6277037568.0,641865344.0
2025-10-01,4,Laundry Machines,6263835136.0,519056896.0
2025-11-01,4,Laundry Machines,6670166016.0,539056256.0
2025-12-01,4,Laundry Machines,6354400768.0,524179648.0
2025-01-01,5,Dish Cleaning Machines,1632832768.0,222573280.0
